,forecast_weekly_new_clients
2025-10-26,11.279830169363926
2025-11-02,11.279830169363926
2025-11-09,11.279830169363926
2025-11-16,11.279830169363926
2025-11-23,11.279830169363926
2025-11-30,11.279830169363926
2025-12-07,11.279830169363926
2025-12-14,11.279830169363926
2025-12-21,11.279830169363926
2025-12-28,11.279830169363926
2026-01-04,11.279830169363926
2026-01-11,11.279830169363926
2026-01-18,11.279830169363926
2026-01-25,11.279830169363926
2026-02-01,11.279830169363926
2026-02-08,11.279830169363926
2026-02-15,11.279830169363926
2026-02-22,11.279830169363926
2026-03-01,11.279830169363926
2026-03-08,11.279830169363926
2026-03-15,11.279830169363926
2026-03-22,11.279830169363926
2026-03-29,11.279830169363926
2026-04-05,11.279830169363926
2026-04-12,11.279830169363926
2026-04-19,11.279830169363926
2026-04-26,11.279830169363926
2026-05-03,11.279830169363926
2026-05-10,11.279830169363926
2026-05-17,11.279830169363926
2026-05-24,11.279830169363926
2026-05-31,11.279830169363926
2026-06-07,11.279830169363926
2026-06-14,11.279830169363926
2026-06-21,11.279830169363926
2026-06-28,11.279830169363926
2026-07-05,11.279830169363926
2026-07-12,11.279830169363926
2026-07-19,11.279830169363926
2026-07-26,11.279830169363926
2026-08-02,11.279830169363926
2026-08-09,11.279830169363926
2026-08-16,11.279830169363926
2026-08-23,11.279830169363926
2026-08-30,11.279830169363926
2026-09-06,11.279830169363926
2026-09-13,11.279830169363926
2026-09-20,11.279830169363926
2026-09-27,11.279830169363926
2026-10-04,11.279830169363926
2026-10-11,11.279830169363926
2026-10-18,11.279830169363926
